Name,Longitude,Latitude
E01005500,-2.205959,53.595184
E01005501,-2.215492,53.593131
E01005502,-2.216263,53.589027
E01005503,-2.220522,53.584026
E01005504,-2.223179,53.589053
E01005505,-2.231385,53.589686
E01005506,-2.212974,53.585324
E01005507,-2.207479,53.584267
E01005508,-2.209878,53.579579
E01005509,-2.227809,53.592021
E01005510,-2.236654,53.596982
E01005511,-2.24056,53.595625
E01005512,-2.239377,53.592472
E01005513,-2.245074,53.590199
E01005514,-2.254643,53.58873
E01005515,-2.238921,53.58737
E01005516,-2.108301,53.633798
E01005517,-2.107825,53.631021
E01005518,-2.085753,53.660933
E01005519,-2.107335,53.64934
E01005520,-2.094852,53.650481
E01005521,-2.090686,53.643593
E01005522,-2.096518,53.645003
E01005523,-2.107422,53.640961
E01005524,-2.200848,53.55466
E01005525,-2.195208,53.56461
E01005526,-2.202465,53.563813
E01005527,-2.209079,53.561198
E01005528,-2.198627,53.560329
E01005529,-2.206259,53.556367
E01005530,-2.1899,53.542556
E01005531,-2.182271,53.535362
E01005532,-2.183557,53.538695
E01005533,-2.195204,53.54606
E01005534,-2.179617,53.545834
E01005535,-2.17683,53.542613
E01005536,-2.189759,53.557674
E01005537,-2.175852,53.556776
E01005538,-2.183834,53.556458
E01005539,-2.194641,53.554287
E01005540,-2.179308,53.550766
E01005541,-2.184777,53.551955
E01005542,-2.175345,53.548066
E01005543,-2.180079,53.561599
E01005544,-2.201008,53.534816
E01005545,-2.193448,53.534949
E01005546,-2.219114,53.5459
